name,price,category,class,team,display_color
M's Lightweight Better Sweater® Hoody,159.00,Performance Fleece,Jackets,M's Sportswear,SPRB
M's Lightweight Better Sweater® Shelled Jacket,179.00,Performance Fleece,Jackets,M's Sportswear,RDFY
M's Lightweight Better Sweater® Jacket,149.00,Performance Fleece,Jackets,M's Sportswear,NENA
M's Better Sweater® 1/4 Zip,49.50,Performance Fleece,Tops,M's Sportswear,NENA
M's Better Sweater® Jacket,139.00,Performance Fleece,Jackets,M's Sportswear,INDG
M's Better Sweater® Vest,49.50,Performance Fleece,Vests,M's Sportswear,STH
M's Organic Cotton Quilt Snap-T® Pullover,74.50,Tops,Long Sleeve Knits,M's Sportswear,PUM
M's Synchilla® Snap-T® Pullover,69.50,Performance Fleece,Tops,M's Sportswear,OAT
M's Lightweight Synchilla® Snap-T® Pullover,119.00,Performance Fleece,Tops,M's Sportswear,GWNE
M's Classic Retro-X® Jacket,199.00,Performance Fleece,Jackets,M's Sportswear,NAT
M's Micro D® Pullover,59.00,Performance Fleece,Tops,M's Sportswear,SPRB
M's Micro D® Snap-T® Pullover,44.50,Performance Fleece,Tops,M's Sportswear,CSC
M's Classic Synchilla® Jacket,99.00,Performance Fleece,Jackets,M's Sportswear,NENA
M's Classic Synchilla® Vest,79.00,Performance Fleece,Vests,M's Sportswear,NKL
M's Micro D® Jacket,89.00,Performance Fleece,Jackets,M's Sportswear,NENA
M's R1® TechFace Jacket,79.50,Shell Tops,Softshells,Alpine,BLK
M's R1® TechFace Hoody,179.00,Shell Tops,Softshells,Alpine,MAN
M's R1® Pullover,64.50,Insulation Tops,Fleece,Alpine,FGE
M's R1® Full-Zip Hoody,169.00,Insulation Tops,Fleece,Alpine,INDG
M's R1® Pullover Hoody,79.50,Insulation Tops,Fleece,Alpine,FRE
M's Woolyester Fleece Jacket,79.50,Performance Fleece,Jackets,M's Sportswear,FGE
M's Woolyester Fleece Pullover,69.50,Performance Fleece,Tops,M's Sportswear,OAT
M's R2® TechFace Hoody,94.50,Shell Tops,Softshells,Alpine,SMDB
M's R1® TechFace Pullover,129.00,Shell Tops,Softshells,Alpine,CNY
M's R1® Pants,119.00,Sportswear Bottoms,Pants,Fishing,FGE
M's Los Gatos 1/4-Zip,49.50,Performance Fleece,Tops,M's Sportswear,FEA
M's R2® Jacket,84.50,Insulation Tops,Fleece,Alpine,RTSR
M's Classic Retro-X® Vest,74.50,Performance Fleece,Vests,M's Sportswear,BOB
M's Crosstrek 1/4-Zip,59.50,Mid Layer,Fleece,Performance Baselayer,FGE
M's R2® TechFace Jacket,84.50,Shell Tops,Softshells,Alpine,FRE
M's Long-Sleeved Early Rise Snap Shirt\t,129.00,Sportswear Tops,Long Sleeve Tops,Fishing,INBK
M's Tin Shed Jacket,74.50,Outerwear,Jackets,Workwear,SNBL
M's Better Sweater® Rib Knit 1/4-Zip,119.00,Performance Fleece,Tops,M's Sportswear,NENK
M's Woolie Fleece Pullover,79.50,Performance Fleece,Tops,M's Sportswear,OAT
M's Better Sweater® Shirt Jacket,79.50,Performance Fleece,Jackets,M's Sportswear,NENA
M's Long-Sleeved R1® Fitz 1/4-Zip,169.00,Sportswear Tops,Long Sleeve Tops,Fishing,SKA
M's Better Sweater® Henley Pullover,119.00,Performance Fleece,Tops,M's Sportswear,PKRK
M's Recycled High Pile Fleece Down Jacket,195.00,Outerwear,Down Insulation,M's Sportswear,LDBR
M's Crosstrek Bottoms,49.50,Mid Layer,Fleece,Performance Baselayer,BLK
M's Burly Man Vest,149.00,Outerwear,Vests,Workwear,DWA
M's Retro-X® Bomber Jacket,74.50,Performance Fleece,Jackets,M's Sportswear,PLCN
M's Burly Man Hooded Jacket,199.00,Outerwear,Jackets,Workwear,INBK
M's Woolie Chore Coat,199.00,Performance Fleece,Jackets,M's Sportswear,INDG
M's Double Sided Fleece Pullover,129.00,Performance Fleece,Tops,M's Sportswear,OWBR
M's Snap Front Retro-X® Jacket,169.00,Performance Fleece,Jackets,M's Sportswear,PLCN
M's Triple Texture Jacket,179.00,Outerwear,Casual,M's Sportswear,NENA
M's Retro Pile Jacket,0.00,Performance Fleece,Jackets,M's Sportswear,FEA
M's Retro Pile Vest,0.00,Performance Fleece,Vests,M's Sportswear,SPRE
