name,price,category,class,team,display_color
M's Trail Harbor Hoody,99.00,Tops,Long Sleeve Knits,M's Sportswear,LPDO
M's Surf Activists Uprisal Crew Sweatshirt,65.00,Sweatshirts,Men's Pullovers,Logo,GLH
M's Lightweight Fjord Flannel Hoody,99.00,Tops,Long Sleeve Wovens,M's Sportswear,ROVP
M's Organic Cotton Quilt Snap-T® Pullover,74.50,Tops,Long Sleeve Knits,M's Sportswear,PUM
M's P-6 Label Uprisal Hoody,79.00,Sweatshirts,Men's Pullovers,Logo,CNY
M's Fitz Roy Horizons Uprisal Hoody,79.00,Sweatshirts,Men's Pullovers,Logo,BLK
M's P-6 Label Uprisal Crew Sweatshirt,65.00,Sweatshirts,Men's Pullovers,Logo,LBYG
M's P-6 Logo Uprisal Hoody,79.00,Sweatshirts,Men's Pullovers,Logo,GLH
M's P-6 Logo Lightweight Crew Sweatshirt,27.50,Sweatshirts,Men's Pullovers,Logo,BEBL
M's Line Logo Ridge Uprisal Hoody,79.00,Sweatshirts,Men's Pullovers,Logo,PUM
M's P-6 Label Lightweight Full-Zip Hoody,89.00,Sweatshirts,Men's Full Zips,Logo,FEA
M's Trail Harbor Crewneck Sweatshirt,89.00,Tops,Long Sleeve Knits,M's Sportswear,LPDO
M's Fitz Roy Bison Uprisal Hoody,79.00,Sweatshirts,Men's Pullovers,Logo,GLH
M's Fitz Roy Horizons Uprisal Crew Sweatshirt,65.00,Sweatshirts,Men's Pullovers,Logo,CNY
M's Organic Cotton Quilt Crewneck Sweatshirt,49.50,Tops,Long Sleeve Knits,M's Sportswear,FGE
M's Organic Cotton Quilt Hoody,84.50,Tops,Long Sleeve Knits,M's Sportswear,PUM
M's Arched Fitz Roy Bear Uprisal Crew Sweatshirt,65.00,Sweatshirts,Men's Pullovers,Logo,PGBE
M's Line Logo Ridge Lightweight Crew Sweatshirt,27.50,Sweatshirts,Men's Pullovers,Logo,ELGR
M's Hemp Crew Sweatshirt,79.00,Sportswear Tops,Long Sleeve Tops,Workwear,SNBL
M's Fitz Roy Scope Lightweight Full-Zip Hoody,89.00,Sweatshirts,Men's Full Zips,Logo,BEBL
M's Fitz Roy Scope Lightweight Crew Sweatshirt,27.50,Sweatshirts,Men's Pullovers,Logo,PUM
