name,basic_img,click_img
M's Torrentshell 3L Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwb66e4f47%2Fimages%2Fhi-res%2F85240_MAN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw7d8377a1%2Fimages%2Fhi-res%2F85240_MAN_JB1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Better Sweater® 1/4 Zip,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw0aa115f2%2Fimages%2Fhi-res%2F25523_NENA.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw224824a9%2Fimages%2Fhi-res%2F25523_NENA_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Down Sweater,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw337dffd2%2Fimages%2Fhi-res%2F84674_SPRB.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw597c0aba%2Fimages%2Fhi-res%2F84674_SPRB_KT1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Nano Puff® Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw3f9f1194%2Fimages%2Fhi-res%2F84212_CBRS.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw08b41874%2Fimages%2Fhi-res%2F84212_CBRS_TM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Better Sweater® Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw69817253%2Fimages%2Fhi-res%2F25528_INDG.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw8437f7f3%2Fimages%2Fhi-res%2F25528_INDG_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Nano Puff® Vest,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdweed7c011%2Fimages%2Fhi-res%2F84242_CNY.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwc8415180%2Fimages%2Fhi-res%2F84242_CNY_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Rainshadow Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwbde496d7%2Fimages%2Fhi-res%2F85115_INDG.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwbde496d7%2Fimages%2Fhi-res%2F85115_INDG.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80
M's Better Sweater® Vest,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw05db0e2f%2Fimages%2Fhi-res%2F25882_STH.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw2fd4e74f%2Fimages%2Fhi-res%2F25882_STH_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Houdini® Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwa931b7a4%2Fimages%2Fhi-res%2F24142_FICN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwa931b7a4%2Fimages%2Fhi-res%2F24142_FICN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80
M's Micro Puff® Hoody,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw0837a05b%2Fimages%2Fhi-res%2F84030_SMDB.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwd6614353%2Fimages%2Fhi-res%2F84030_SMDB_JB1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Nano Puff® Hoody,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw35da81b3%2Fimages%2Fhi-res%2F84222_CNY.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw91fcb67f%2Fimages%2Fhi-res%2F84222_CNY_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Synchilla® Snap-T® Pullover,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw8d166f7a%2Fimages%2Fhi-res%2F25450_OAT.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwf71bac20%2Fimages%2Fhi-res%2F25450_OAT_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Lightweight Synchilla® Snap-T® Pullover,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwdef9c644%2Fimages%2Fhi-res%2F25580_GWNE.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwdef9c644%2Fimages%2Fhi-res%2F25580_GWNE.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80
M's Classic Retro-X® Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwf2a30c38%2Fimages%2Fhi-res%2F23056_NAT.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwf56d62fb%2Fimages%2Fhi-res%2F23056_NAT_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Diamond Quilted Bomber Hoody,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw2e4bd8b7%2Fimages%2Fhi-res%2F27610_EWBN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwe7cc7f9a%2Fimages%2Fhi-res%2F27610_EWBN_MK1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Down Sweater Vest,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw02fc4e0d%2Fimages%2Fhi-res%2F84622_SMBA.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwda8911cd%2Fimages%2Fhi-res%2F84622_SMBA_LINING.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Micro D® Snap-T® Pullover,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw681549a4%2Fimages%2Fhi-res%2F26165_CSC.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw93e5dbf7%2Fimages%2Fhi-res%2F26165_CSC_OM1M.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
M's Classic Synchilla® Vest,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwd9a6cc0e%2Fimages%2Fhi-res%2F23010_NKL.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw94e7052d%2Fimages%2Fhi-res%2F23010_NKL_OM1.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95
